"GeoUID","Owner","Renter"
35200002,95,10
35200003,70,15
35200004,100,0
35200005,90,15
35200006,120,15
35200007,150,30
35200009,80,20
35200010,70,10
35200012,125,20
35200013,15,10
35200018,125,265
35200028,140,210
35200029,0,120
35200030,125,20
35200031,290,65
35200032,190,25
35200033,85,50
35200034,205,20
35200035,180,10
35200036,80,0
35200037,310,85
35200039,65,30
35200041,220,35
35200042,185,30
35200043,140,50
35200044,65,0
35200046,180,75
35200047,155,165
35200048,160,65
35200049,125,95
35200050,250,40
35200051,115,30
35200052,85,20
35200053,70,15
35200054,70,25
35200055,105,30
35200056,65,15
35200057,55,20
35200058,55,0
35200062,155,50
35200064,180,20
35200065,100,10
35200066,135,10
35200067,120,85
35200068,115,10
35200069,160,20
35200070,140,10
35200071,110,15
35200072,95,10
35200073,100,15
35200074,35,20
35200078,190,20
35200079,365,90
35200080,125,10
35200082,90,10
35200085,95,10
35200086,145,20
35200087,110,60
35200088,130,10
35200089,175,15
35200090,130,35
35200091,150,15
35200092,135,95
35200093,150,40
35200094,170,35
35200095,125,30
35200096,50,15
35200097,60,0
35200099,50,20
35200100,115,0
35200101,270,30
35200102,245,15
35200103,75,0
35200104,260,25
35200105,305,35
35200106,325,10
35200107,65,0
35200108,115,0
35200109,125,10
35200110,130,20
35200111,125,0
35200112,225,15
35200114,260,40
35200115,215,25
35200116,145,30
35200117,200,20
35200118,100,15
35200119,55,20
35200120,140,35
35200121,115,10
35200123,280,30
35200124,205,20
35200125,170,25
35200126,120,15
35200127,190,10
35200128,180,30
35200133,235,20
35200134,180,15
35200135,130,10
35200136,105,10
35200137,175,0
35200138,75,0
35200139,100,0
35200140,95,0
35200141,155,15
35200142,110,15
35200143,195,10
35200144,155,20
35200145,135,20
35200146,55,95
35200147,105,30
35200148,85,30
35200149,120,25
35200150,85,345
35200161,130,60
35200162,180,35
35200163,175,30
35200164,65,10
35200165,155,10
35200166,215,35
35200167,270,115
35200173,85,15
35200174,150,20
35200175,190,30
35200176,120,20
35200177,105,25
35200178,175,15
35200179,250,45
35200180,90,55
35200181,105,20
35200182,90,45
35200183,130,35
35200186,150,55
35200187,120,50
35200188,205,40
35200189,120,35
35200190,120,15
35200193,120,20
35200196,155,40
35200197,120,10
35200198,145,0
35200199,235,0
35200200,165,0
35200201,140,35
35200202,175,15
35200203,360,115
35200204,165,10
35200205,140,10
35200206,130,20
35200207,75,10
35200208,155,0
35200209,125,0
35200210,105,40
35200211,105,25
35200212,95,25
35200213,160,25
35200214,175,35
35200215,110,20
35200216,130,60
35200217,95,45
35200218,145,40
35200219,140,25
35200220,130,0
35200221,1590,1130
35200222,315,70
35200223,120,15
35200224,210,60
35200232,65,205
35200233,95,20
35200234,120,15
35200235,110,40
35200236,125,15
35200237,115,20
35200238,75,35
35200239,60,25
35200242,125,10
